id,name,rank_all,rank_futures,rank_equities_only,profit,trades,win_rate,profit_factor,avg_win,avg_loss,profit_1y,first,last,active_days,green_day_pct,daily_sharpe_ann,max_drawdown,recovery_factor,worst_day,best_day,top5pct_days_share_of_profit,profitable_years,years,recent_asset_mix,recent_median_hold_min,tickers_hidden,twitter,url
75925,Trades4freedom,,67,,-32918.09,3305,0.6865,0.9,112.4843,-274.318,-46124.29,2024-07-15,2026-09-22,466,0.706,-0.4696,70472.4178,-0.4671,-26220.5219,14115.5856,,0,3,STK:4;FUT:1,16.85,False,,https://kinfo.com/portfolio/75925/performance
85987,ai-trader-pro,,68,,-33546.15,1660,0.7458,0.98,1742.1981,-5190.4914,129320.97,2024-06-03,2026-09-22,464,0.7716,-0.0435,412640.3502,-0.0813,-332926.64,289977.04,,1,3,STK:2;FUT:3,439.1,False,,https://kinfo.com/portfolio/85987/performance
44756,Sam72143,,69,,-35474.58,1195,0.5657,0.88,373.0404,-554.2387,-35474.58,2025-11-06,2026-09-21,167,0.6228,-2.1316,46791.0761,-0.7581,-10434.9303,3728.7032,,0,2,FOP:1;OPT:4,4219.8667,False,@Sam19967226,https://kinfo.com/portfolio/44756/performance
58345,sdx1,,70,,-45613.22,2114,0.4357,0.97,1484.3032,-1184.112,-49657.07,2025-05-02,2026-09-22,355,0.6085,-1.1171,60019.3058,-0.76,-15175.04,8826.56,,0,2,OPT:2;FUT:3,10.35,False,,https://kinfo.com/portfolio/58345/performance
28766,Jan Trades,,71,,-47458.89,4475,0.5473,0.61,29.6914,-59.3154,-6096.15,2022-10-05,2026-09-22,652,0.5966,-2.363,48207.1829,-0.9845,-8981,2563,,0,5,FUT:5,2.2333,False,,https://kinfo.com/portfolio/28766/performance
91701,Pedrulilho,,72,,-55054.36,200,0.47,0.55,719.0587,-1157.0366,-55054.36,2025-12-31,2026-09-16,98,0.4592,-1.8778,70556.2191,-0.7803,-33236.5,13079.54,,0,2,FUT:5,1440.0,False,,https://kinfo.com/portfolio/91701/performance
79723,vytas80,,73,,-56248.1,7717,0.4924,0.83,71.6773,-83.8959,-54454.66,2025-04-02,2026-07-06,276,0.4783,-2.6303,61945.3936,-0.908,-12751.171,3573.1241,,0,2,STK:5,24.25,False,,https://kinfo.com/portfolio/79723/performance
75096,CTrader,,74,,-57604.7,1517,0.5056,0.53,83.9527,-162.6619,-57708.86,2024-09-18,2026-09-22,160,0.5312,-3.4541,58183.0443,-0.9901,-16621.16,665.08,,1,3,FUT:5,0.0833,False,,https://kinfo.com/portfolio/75096/performance
42621,MZee,,75,,-75966.18,1536,0.6556,0.77,258.3183,-635.1292,-31098.55,2023-01-09,2026-09-21,362,0.5967,-1.4357,76749.4317,-0.9898,-30616.4206,16088.3792,,0,4,FUT:4;STK:1,272.6833,False,,https://kinfo.com/portfolio/42621/performance
77163,TraderBCT,,76,,-213928.95,1497,0.4442,0.65,587.9057,-727.0268,-182195.51,2025-06-16,2026-07-08,220,0.3955,-4.8336,217286.8095,-0.9845,-14553.7606,10375,,0,2,STK:2;OTHER:3,1.8333,True,@oldone552,https://kinfo.com/portfolio/77163/performance
42973,Guy LeDouche,,77,,-322828.77,6840,0.5054,0.91,894.5599,-1009.5544,1680.75,2024-03-18,2026-09-03,374,0.4866,-0.7134,589026.6172,-0.5481,-178716.5,68262.062,,1,3,FUT:5,54.15,False,,https://kinfo.com/portfolio/42973/performance
44439,RulesRule,,78,,-403994.8,1016,0.5709,0.96,15301.9388,-21282.3837,-194475.78,2024-03-08,2026-09-22,287,0.6481,-0.1998,1358036.2787,-0.2975,-373979.6167,1588508.4575,,1,3,OPT:5,2.0167,False,@Scalperspecltr,https://kinfo.com/portfolio/44439/performance
47872,ksh.samuel,,79,,-1664800.97,1475,0.7525,0.81,6220.1183,-23477.0361,50217.99,2020-01-15,2026-09-22,592,0.799,-1.051,2123728.6188,-0.7839,-403196.9536,235640,,3,7,FUT:5,40.9833,False,,https://kinfo.com/portfolio/47872/performance
